{{Marvel Database:Character Template
| Image                   = Number 72 Nick Fury, Agent of SHIELD Vol 1 14.jpg
| Name                    = Unknown
| CurrentAlias            = [[Number 72]]
| Aliases                 = 

| Affiliation             = {{M|Hydra}}
| Relatives               = 
| MaritalStatus           = 

| CharRef                 = 
| Gender                  = Male
| Height                  = 
| Weight                  = 
| Eyes                    = 
| Hair                    = Black
| UnusualFeatures         = 

| Origin                  = [[Homo sapiens|Human]]
| Reality                 = Earth-616
| PlaceOfBirth            = 

| Identity                = Secret
| Citizenship             = 
| Occupation              = Terrorist, Hydra section head
| Education               = 
| BaseOfOperations        = [[New York City]], [[New York (State)|New York]]

| Creators                = Gary Friedrich; Herb Trimpe
| First                   = Nick Fury, Agent of SHIELD Vol 1 14

| History                 = 

| Personality             = 

| Powers                  = 
| Abilities               = 
| Strength                = 
| Weaknesses              = 

| Equipment               = 
| Transportation          = 
| Weapons                 = 

| Notes                   = 
| Trivia                  = 
| Marvel                  = 
| Wikipedia               = 
| Links                   = 
}}
[[Category:Tobacco Smokers]]
