name,links,number_links,leader,member,ally,enemy
Eugene_Thompson_(Earth-616),"['Jonathan_Storm_(Earth-616)', 'Peter_Parker_(Earth-616)', 'Thaddeus_Ross_(Earth-616)', 'Laura_Kinney_(Earth-616)', 'Norman_Osborn_(Earth-616)', 'Eugene_Thompson_(Earth-616)', 'Sergei_Kravinoff_(Earth-616)', 'Carol_Danvers_(Earth-616)', 'Edward_Brock_(Earth-616)', 'Gamora_Zen_Whoberi_Ben_Titan_(Earth-7528)', 'Victor_von_Doom_(Earth-616)', 'Brunnhilde_(Earth-616)', 'Barbara_Morse_(Earth-616)', 'Jim_Hammond_(Earth-616)', 'Otto_Octavius_(Earth-616)', 'Miles_Morales_(Earth-1610)', 'Knull_(Earth-616)', 'Clinton_Barton_(Earth-616)', 'Anthony_Stark_(Earth-616)', 'Arthur_Douglas_(Earth-616)', 'Groot_(Earth-616)', ""Jack_O'Lantern_(Crime-Master's)_(Earth-616)"", 'MacDonald_Gargan_(Earth-616)', 'Brock_Rumlow_(Earth-616)', 'Kaine_Parker_(Earth-616)', 'Daimon_Hellstrom_(Earth-616)', 'Living_Brain_(Earth-616)', 'Harold_Osborn_(Earth-616)', 'Cindy_Moon_(Earth-616)', 'Johnathon_Blaze_(Earth-616)', 'Steven_Rogers_(Earth-616)', 'Phillip_Urich_(Earth-616)', 'Cletus_Kasady_(Earth-616)', 'Rocket_Raccoon_(Earth-616)', 'Simon_Utrecht_(Earth-616)', 'Thor_Odinson_(Earth-616)', 'Quentin_Beck_(Earth-616)', 'Mephisto_(Earth-616)', 'Natalia_Romanova_(Earth-616)']",39,[],"['Avengers', 'Guardians of the Galaxy']",[],[]
Aikku_Jokinen_(Earth-616),"['Challenger_(Elder_of_the_Universe)_(Earth-616)', 'Toni_Ho_(Earth-616)', 'Marcus_Milton_(Earth-13034)', 'Shang-Chi_(Earth-616)', 'Miguel_Santos_(Earth-616)', 'Bruce_Banner_(Earth-616)', 'Aikku_Jokinen_(Earth-616)', 'Thor_Odinson_(Earth-616)', 'En_Dwi_Gast_(Earth-616)', 'Roberto_Da_Costa_(Earth-616)', 'Deidre_Wentworth_(Earth-616)', 'Adam_Brashear_(Earth-616)', 'Ex_Nihilo_(Earth-616)']",13,[],['Avengers'],[],[]
Wai_Ling_(Earth-616),"['Hercules_Panhellenios_(Earth-616)', 'Chao_Yen_(Earth-616)', 'Clinton_Barton_(Earth-616)', 'Yuri_Brushov_(Earth-616)', 'Steven_Rogers_(Earth-616)', 'Natalia_Romanova_(Earth-616)']",6,[],[],[],['Avengers']
Dinu_(Earth-616),[],0,[],['Inhuman Royal Guard'],[],[]
Terminus_(Destroyer)_(Earth-616),"['Marcus_Milton_(Earth-13034)', 'Anthony_Stark_(Earth-616)', 'Harvey_Elder_(Earth-616)', 'Kevin_Plunder_(Earth-616)', 'Hercules_Panhellenios_(Earth-616)', 'Norrin_Radd_(Earth-616)', 'Thor_Odinson_(Earth-616)', 'Aaron_Stack_(Earth-616)', 'Garokk_(Earth-616)', 'Steven_Rogers_(Earth-616)', 'Wendell_Vaughn_(Earth-616)']",11,[],[],[],"['Guardians of the Galaxy', 'Fantastic Four']"
Emma_Frost_(Earth-616),"['Peter_Parker_(Earth-616)', 'Wanda_Maximoff_(Earth-616)', 'Steven_Rogers_(Earth-61311)', 'Danger_(Earth-616)', 'Irma_Cuckoo_(Earth-616)', 'Victor_von_Doom_(Earth-616)', 'Cul_Borson_(Earth-616)', 'Lorna_Dane_(Earth-616)', 'Tyrone_Johnson_(Earth-616)', 'Sophie_Cuckoo_(Earth-616)', 'En_Sabah_Nur_(Earth-616)', 'Everett_Thomas_(Earth-616)', 'Steven_Rogers_(Earth-616)', 'Sage_(Earth-616)', 'Katherine_Pryde_(Earth-616)', 'Robert_Reynolds_(Earth-616)', 'Void_(Dark_Sentry)_(Earth-616)', 'Esme_Cuckoo_(Earth-616)', 'Thor_Odinson_(Earth-616)', 'Ororo_Munroe_(Earth-616)', 'Medusalith_Amaquelin_(Earth-616)', 'Mephisto_(Earth-616)', 'Bullseye_(Lester)_(Earth-616)', 'Monet_St._Croix_(Earth-616)', 'Cassandra_Nova_Xavier_(Earth-616)', 'Gabriel_Summers_(Earth-616)', 'Quintavius_Quire_(Earth-616)', 'Norman_Osborn_(Earth-616)', 'James_Howlett_(Earth-616)', 'Sebastian_Shaw_(Earth-616)', 'Simon_Trask_(Earth-616)', 'Kruun_(Earth-616)', 'Robert_Drake_(Earth-616)', 'Anthony_Stark_(Earth-616)', 'Blackagar_Boltagon_(Earth-616)', 'Rogue_(Anna_Marie)_(Earth-616)', 'Raven_Darkholme_(Earth-616)', 'Celeste_Cuckoo_(Earth-616)', 'Trevor_Fitzroy_(Earth-1191)', 'Henry_McCoy_(Earth-616)', 'Emma_Frost_(Earth-616)', 'Juston_Seyfert_(Earth-616)', 'Sean_Cassidy_(Earth-616)', 'Sebastion_Gilberti_(Earth-616)', 'Piotr_Rasputin_(Earth-616)', 'Max_Eisenhardt_(Earth-616)', 'James_Proudstar_(Earth-616)', 'Lucas_Bishop_(Earth-1191)', 'Shen_Xorn_(Earth-616)', 'Joshua_Foley_(Earth-616)', 'Phoenix_Force_(Earth-616)', 'Tandy_Bowen_(Earth-616)', 'Lockheed_(Earth-616)', 'Kuan-Yin_Xorn_(Earth-616)', 'Akihiro_(Earth-616)', 'Jubilation_Lee_(Earth-616)', 'Parker_Robbins_(Earth-616)', 'Amara_Aquilla_(Earth-616)', 'Jason_Wyngarde_(Earth-616)', 'Rachel_Summers_(Earth-811)', 'Jean_Grey_(Earth-616)', 'Illyana_Rasputina_(Earth-616)', 'Cain_Marko_(Earth-616)', 'Douglas_Ramsey_(Earth-616)', 'Warren_Worthington_III_(Earth-616)', 'Danielle_Moonstar_(Earth-616)', 'Loki_Laufeyson_(Earth-616)', 'Charles_Xavier_(Earth-616)', 'Namor_McKenzie_(Earth-616)', 'Mondo_(Earth-616)', 'Warlock_(Technarch)_(Earth-616)', 'Calvin_Rankin_(Earth-616)', 'Victor_Creed_(Earth-616)', 'Hisako_Ichiki_(Earth-616)', 'Mitchell_Tanner_(Earth-616)', 'Alexander_Summers_(Earth-616)', 'Moira_MacTaggert_(Earth-TRN748)', 'Beyonder_(Earth-616)', 'Henry_McCoy_(Earth-295)', 'Abigail_Brand_(Earth-616)', 'Scott_Summers_(Earth-616)', 'Julian_Keller_(Earth-616)']",82,['X-Men'],"['Avengers', 'X-Men', 'Cabal (Dark Illuminati)']",[],[]
Makoto_(Earth-616),[],0,['Hand'],['Hand'],[],[]
George_Washington_Bridge_(Earth-616),"['Nathan_Summers_(Earth-616)', 'Frank_Castle_(Earth-616)', 'Anthony_Stark_(Earth-616)', 'Jasper_Sitwell_(Earth-616)', 'Nicholas_Fury_(Earth-616)', 'Neena_Thurman_(Earth-616)', 'Valentina_Allegra_de_Fontaine_(Earth-616)', 'William_Russo_(Earth-616)', 'Steven_Rogers_(Earth-616)', 'Norman_Osborn_(Earth-616)']",10,"['Strategic Homeland Intervention, Enforcement and Logistics Division']","['Strategic Homeland Intervention, Enforcement and Logistics Division']",[],[]
Taranith_Gestal_(Earth-616),[],0,[],[],[],['Fantastic Four']
Hughes_Aït-Kaci_(Earth-616),"['Morgan_Le_Fay_(Earth-616)', 'Geyr_Kluge_(Earth-616)', 'Dane_Whitman_(Earth-616)']",3,[],"['Strategic Homeland Intervention, Enforcement and Logistics Division']",[],[]
