team_name,members
Oracle Inc. (Earth-616),"['Anita Savvy (Earth-616)', 'Caleb Alexander (Earth-616)', 'Carrie Alexander (Earth-616)', 'Jacqueline Falsworth (Earth-616)', 'Jim Hammond (Earth-616)', 'Kyle Richmond (Earth-31916)', 'Leon McKenzie (Earth-616)', 'Namor McKenzie (Earth-616)', 'Phoebe Marrs (Earth-616)', 'Richard Savvy (Earth-616)']"
Metal Mobsters (Earth-616),[]
Knights of the Atomic Round Table (Earth-616),"['Anthony Stark (Earth-616)', 'Bruce Banner (Earth-616)', ""Conner O'Reilly (Heroes Reborn) (Earth-616)"", 'Henry Pym (Earth-616)', 'Reed Richards (Earth-616)', 'Victor von Doom (Earth-616)']"
Yoruba,[]
Emissaries of Evil (Electro) (Earth-616),"['Manuel Eloganto (Earth-616)', 'Maxwell Dillon (Earth-616)', 'Melvin Potter (Earth-616)', 'Vincent Patilio (Earth-616)', 'Wilbur Day (Earth-616)']"
West Orange Fire Department (Earth-616),[]
Hellfire Cult (Earth-616),"['Madelyne Pryor (Earth-616)', 'Manuel de la Rocha (Earth-616)']"
Irish Republican Army (Earth-616),"['Alan Cavenaugh (Earth-616)', 'Bridget Malone (Earth-616)', ""Gerald O'Higgins (Earth-616)"", ""Paddy O'Hanlon (Earth-616)""]"
Ebon Knights (Earth-616),[]
Earth Force (Earth-616),"['Kyle Brock (Earth-616)', 'Pamela Shaw (Earth-616)', 'Winston Manchester (Earth-616)', 'Winston Manchester (Skrull) (Earth-616)']"
Nextin Pharmaceuticals (Earth-616),"['Jacob Erskine (Earth-616)', 'Myron Smith (Android) (Earth-616)']"
Cherubim (Angels) (Earth-616),"['Thrasher (Angel) (Earth-616)', 'Zachariah (Angel) (Earth-616)']"
"Keepers of Integration, Normalization and Deference (Earth-616)","['Joshua Richardson (Earth-616)', 'Rebecca St. Jude (Earth-616)']"
X-Factor (Earth-616),"['Arthur Maddicks (Earth-616)', 'Caliban (Earth-616)', 'Henry McCoy (Earth-616)', 'Jean Grey (Earth-616)', 'Julio Richter (Earth-616)', 'Leech (Earth-616)', 'Robert Drake (Earth-616)', 'Russell Collins (Earth-616)', 'Sally Blevins (Earth-616)', 'Scott Summers (Earth-616)', 'Tabitha Smith (Earth-616)', 'Warren Worthington III (Earth-616)']"
Rampart (Earth-616),[]
Advocates Squad (Earth-616),"['Aurelie Sabayon (Earth-616)', 'Gerard Cooper (Earth-616)', 'Patrick Nesbitt (Earth-616)', 'Pedro de Noli (Earth-616)', 'Robin Wise (Earth-616)', 'Rogue (Anna Marie) (Earth-616)', 'Shaun Kennedy (Earth-616)']"
Black Tigers (Earth-616),[]
Red Hand Ninjas (Earth-616),[]
Battalion (Earth-616),"['Buford Hollis (Earth-616)', 'Buford Hollis (Skrull) (Earth-616)', 'Greer Grant (Earth-616)']"
